PROVIDER$CODE_;PROVIDERPRICEDVALUECODE_;PRICEDATE;NAV_;CLOSE_;Nom
SIXTELEKURS;MA0000030553;26/04/2024;5395.77;;SICAV ATTIJARI TRESORERIE
SIXTELEKURS;MA0000030645;26/04/2024;88.28;;SICAV ATTIJARI PATRIMOINE VALEURS
SIXTELEKURS;MA0000040180;30/04/2024;197.08;;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040271;30/04/2024;200814.17;;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000040339;30/04/2024;229.53;;FCP ATTIJARI MONETAIRE JOUR
SIXTELEKURS;MA0000040388;30/04/2024;164.06;;FCP WG OBLIGATIONS
SIXTELEKURS;MA0000036048;15/05/2024;218.59;;FCP ATTIJARI MONETAIRE PLUS
SIXTELEKURS;MA0000036063;15/05/2024;662.26;;FCP ATTIJARI ACTIONS
SIXTELEKURS;MA0000036659;15/05/2024;1516.47;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;07/03/2024;1509.3;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036048;13/05/2024;218.58;;FCP ATTIJARI MONETAIRE PLUS
SIXTELEKURS;MA0000036063;13/05/2024;668.72;;FCP ATTIJARI ACTIONS
SIXTELEKURS;MA0000036659;14/03/2024;1510.06;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000040180;04/04/2024;196.67;;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040271;04/04/2024;200389.1;;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000040339;04/04/2024;229.12;;FCP ATTIJARI MONETAIRE JOUR
SIXTELEKURS;MA0000040388;04/04/2024;163.64;;FCP WG OBLIGATIONS
SIXTELEKURS;MA0000036048;26/04/2024;218.21;;FCP ATTIJARI MONETAIRE PLUS
SIXTELEKURS;MA0000036063;26/04/2024;660.65;;FCP ATTIJARI ACTIONS
SIXTELEKURS;MA0000040180;02/04/2024;196.63;;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040271;02/04/2024;200354.18;;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000040339;02/04/2024;229.09;;FCP ATTIJARI MONETAIRE JOUR
SIXTELEKURS;MA0000040388;02/04/2024;163.61;;FCP WG OBLIGATIONS
SIXTELEKURS;MA0000036659;26/04/2024;1514.58;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000040156;10/05/2024;939.46;;FCP ATTIJARI AL MOUCHARAKA
SIXTELEKURS;MA0000040180;10/05/2024;197.34;;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040263;10/05/2024;2148.81;;FCP ATTIJARI SECURITE
SIXTELEKURS;MA0000040271;10/05/2024;201042.23;;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000040339;10/05/2024;229.69;;FCP ATTIJARI MONETAIRE JOUR
SIXTELEKURS;MA0000040180;07/03/2024;196.22;;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040271;07/03/2024;199931.96;;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000040339;07/03/2024;228.68;;FCP ATTIJARI MONETAIRE JOUR
SDG;MA0000040271;13/05/2024;201092.95;201092.95;FCP CAP MONETAIRE PREMIERE
SDG;MA0000030553;13/05/2024;5403.8;5403.8;SICAV ATTIJARI TRESORERIE
SDG;MA0000040180;13/05/2024;197.4;197.4;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040156;01/03/2024;912.7;;FCP ATTIJARI AL MOUCHARAKA
SIXTELEKURS;MA0000040180;01/03/2024;196.09;;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040263;01/03/2024;2134.05;;FCP ATTIJARI SECURITE
SIXTELEKURS;MA0000040271;01/03/2024;199809.88;;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000040339;01/03/2024;228.58;;FCP ATTIJARI MONETAIRE JOUR
SDG;MA0000040271;04/04/2024;200389.1;200389.1;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000040180;14/03/2024;196.33;;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040271;14/03/2024;200048.33;;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000040339;14/03/2024;228.79;;FCP ATTIJARI MONETAIRE JOUR
SIXTELEKURS;MA0000040388;14/03/2024;163.39;;FCP WG OBLIGATIONS
SDG;MA0000036659;05/04/2024;1512.21;1512.21;FCP ATTIJARI LIQUIDITE
SDG;MA0000040271;05/04/2024;200406.46;200406.46;FCP CAP MONETAIRE PREMIERE
SDG;MA0000030520;05/04/2024;594.29;594.29;SICAV ATTIJARI DIVERSIFIE
SDG;MA0000030553;05/04/2024;5387.38;5387.38;SICAV ATTIJARI TRESORERIE
SDG;MA0000041477;05/04/2024;925.89;925.89;FCP ATTIJARI DIVIDEND FUND
SDG;MA0000036063;05/04/2024;656.17;656.17;FCP ATTIJARI ACTIONS
SDG;MA0000040156;05/04/2024;905.15;905.15;FCP ATTIJARI AL MOUCHARAKA
SDG;MA0000030645;05/04/2024;87.97;87.97;SICAV ATTIJARI PATRIMOINE VALEURS
SDG;MA0000040180;05/04/2024;196.68;196.68;FCP OBLIDYNAMIC
SDG;MA0000040388;05/04/2024;163.67;163.67;FCP WG OBLIGATIONS
SIXTELEKURS;MA0000040388;10/05/2024;164.32;;FCP WG OBLIGATIONS
